alpha,steps
0.01,7491
0.01,3772
0.01,3832
0.01,5390
0.01,5930
0.01,5024
0.01,2439
0.01,3783
0.01,2163
0.01,3207
0.01,5734
0.01,2450
0.01,3946
0.01,4530
0.01,13100
0.01,3075
0.01,5128
0.01,4068
0.01,4184
0.01,8275
0.01,4446
0.01,4106
0.01,11005
0.01,5819
0.01,4067
0.01,4378
0.01,4067
0.01,10515
0.01,7297
0.01,3886
0.01,3966
0.01,3974
0.01,7005
0.01,3154
0.01,5137
0.01,4001
0.01,18594
0.01,3697
0.01,5526
0.01,5409
0.01,2732
0.01,3607
0.01,7145
0.01,4785
0.01,3436
0.01,5663
0.01,2696
0.01,5303
0.01,6915
0.01,3945
0.01,3064
0.01,5857
0.01,4166
0.01,3500
0.01,7315
0.01,5182
0.01,3276
0.01,2688
0.01,7792
0.01,6481
0.01,2834
0.01,3869
0.01,5557
0.01,4542
0.01,2263
0.01,4564
0.01,1842
0.01,3578
0.01,14935
0.01,4911
0.01,4669
0.01,4280
0.01,3651
0.01,2898
0.01,3091
0.01,6001
0.01,7708
0.01,5233
0.01,3849
0.01,3151
0.01,3748
0.01,6145
0.01,5208
0.01,2427
0.01,9850
0.01,3201
0.01,2885
0.01,21584
0.01,3150
0.01,5510
0.01,2855
0.01,4966
0.01,3652
0.01,4218
0.01,8207
0.01,5649
0.01,3612
0.01,5586
0.01,3921
0.01,3204
0.02,2652
0.02,3066
0.02,2889
0.02,6400
0.02,3508
0.02,2800
0.02,3961
0.02,3880
0.02,3718
0.02,2742
0.02,3967
0.02,4142
0.02,5232
0.02,5498
0.02,3883
0.02,4089
0.02,2498
0.02,4451
0.02,9225
0.02,3163
0.02,3376
0.02,4156
0.02,5630
0.02,2632
0.02,4260
0.02,2334
0.02,3312
0.02,3584
0.02,2257
0.02,1997
0.02,2416
0.02,2885
0.02,4788
0.02,5068
0.02,8606
0.02,7313
0.02,3929
0.02,3741
0.02,2783
0.02,3232
0.02,2710
0.02,4139
0.02,3810
0.02,2801
0.02,3623
0.02,2273
0.02,2744
0.02,2992
0.02,3813
0.02,3673
0.02,3990
0.02,2180
0.02,2717
0.02,2514
0.02,3501
0.02,4646
0.02,2989
0.02,3261
0.02,4559
0.02,4552
0.02,5395
0.02,3341
0.02,19598
0.02,3348
0.02,2979
0.02,4259
0.02,7214
0.02,2040
0.02,6243
0.02,4795
0.02,3769
0.02,6989
0.02,2432
0.02,4226
0.02,2910
0.02,3941
0.02,2937
0.02,3327
0.02,4408
0.02,3383
0.02,2797
0.02,5842
0.02,2322
0.02,2446
0.02,11593
0.02,3835
0.02,3771
0.02,6705
0.02,2664
0.02,5258
0.02,2131
0.02,2199
0.02,1516
0.02,3324
0.02,4079
0.02,3189
0.02,4056
0.02,2502
0.02,3959
0.02,1759
0.03,8239
0.03,3549
0.03,2630
0.03,4032
0.03,2973
0.03,4634
0.03,3826
0.03,2574
0.03,2156
0.03,5002
0.03,3561
0.03,3093
0.03,3470
0.03,4329
0.03,2693
0.03,3523
0.03,1657
0.03,1721
0.03,2575
0.03,3243
0.03,3312
0.03,3058
0.03,3543
0.03,4695
0.03,1808
0.03,4045
0.03,2581
0.03,3583
0.03,1949
0.03,4065
0.03,3769
0.03,4403
0.03,11674
0.03,2995
0.03,1266
0.03,4419
0.03,2929
0.03,7822
0.03,3244
0.03,2284
0.03,4003
0.03,3044
0.03,2452
0.03,2319
0.03,2540
0.03,5767
0.03,3495
0.03,2707
0.03,3631
0.03,3863
0.03,3736
0.03,3399
0.03,3833
0.03,3563
0.03,3953
0.03,3528
0.03,1764
0.03,2994
0.03,2705
0.03,1938
0.03,7026
0.03,3823
0.03,3939
0.03,2287
0.03,10489
0.03,3629
0.03,2479
0.03,3317
0.03,3455
0.03,1421
0.03,2601
0.03,7189
0.03,3506
0.03,3390
0.03,3040
0.03,2423
0.03,2531
0.03,2331
0.03,2506
0.03,3228
0.03,3037
0.03,3351
0.03,3316
0.03,2447
0.03,1793
0.03,2052
0.03,2539
0.03,2590
0.03,3910
0.03,3528
0.03,1636
0.03,6476
0.03,5349
0.03,4018
0.03,5243
0.03,1506
0.03,2539
0.03,2997
0.03,2875
0.03,4311
0.04,3835
0.04,4377
0.04,2404
0.04,2154
0.04,6609
0.04,2410
0.04,2072
0.04,7526
0.04,4198
0.04,2826
0.04,4876
0.04,2748
0.04,1899
0.04,3382
0.04,4617
0.04,2529
0.04,2705
0.04,2240
0.04,2654
0.04,3902
0.04,2113
0.04,2485
0.04,3073
0.04,3860
0.04,3333
0.04,2659
0.04,2011
0.04,3568
0.04,5356
0.04,3824
0.04,4938
0.04,4879
0.04,4397
0.04,2408
0.04,2308
0.04,3142
0.04,2231
0.04,3612
0.04,1594
0.04,3859
0.04,4311
0.04,3514
0.04,2528
0.04,4385
0.04,1641
0.04,4902
0.04,2099
0.04,1796
0.04,2759
0.04,3715
0.04,3689
0.04,1956
0.04,2219
0.04,4444
0.04,2880
0.04,3422
0.04,3111
0.04,2819
0.04,6191
0.04,1555
0.04,5569
0.04,2713
0.04,2321
0.04,2594
0.04,2492
0.04,2371
0.04,1314
0.04,2819
0.04,4675
0.04,1737
0.04,3369
0.04,4823
0.04,1788
0.04,4281
0.04,4173
0.04,3330
0.04,3019
0.04,5652
0.04,9256
0.04,4477
0.04,4251
0.04,3928
0.04,6541
0.04,1573
0.04,3122
0.04,3192
0.04,4957
0.04,3278
0.04,3917
0.04,1756
0.04,2115
0.04,2513
0.04,2376
0.04,2853
0.04,2640
0.04,2049
0.04,2661
0.04,3382
0.04,3986
0.04,3607
0.05,2152
0.05,2122
0.05,2532
0.05,4598
0.05,2025
0.05,2813
0.05,3200
0.05,2447
0.05,3272
0.05,3058
0.05,2866
0.05,2286
0.05,2278
0.05,1928
0.05,3073
0.05,3342
0.05,2859
0.05,3477
0.05,3478
0.05,3501
0.05,2444
0.05,3396
0.05,4249
0.05,2806
0.05,4710
0.05,3054
0.05,1960
0.05,4162
0.05,3304
0.05,3418
0.05,3515
0.05,2742
0.05,2892
0.05,2546
0.05,3135
0.05,3614
0.05,3231
0.05,2167
0.05,2940
0.05,2869
0.05,3158
0.05,2626
0.05,4019
0.05,3704
0.05,6361
0.05,3033
0.05,2974
0.05,4163
0.05,3412
0.05,2278
0.05,1925
0.05,3045
0.05,5267
0.05,3896
0.05,3079
0.05,6344
0.05,2418
0.05,3584
0.05,3264
0.05,3575
0.05,4812
0.05,2259
0.05,4366
0.05,2304
0.05,2580
0.05,2646
0.05,4605
0.05,3063
0.05,2915
0.05,5046
0.05,2317
0.05,3386
0.05,3865
0.05,2928
0.05,2488
0.05,2705
0.05,2697
0.05,2707
0.05,2356
0.05,2244
0.05,3049
0.05,3583
0.05,2475
0.05,3562
0.05,4392
0.05,3005
0.05,4860
0.05,3643
0.05,3684
0.05,3558
0.05,3687
0.05,2055
0.05,3312
0.05,3774
0.05,2931
0.05,3515
0.05,2863
0.05,2622
0.05,2220
0.05,4164
0.06,4452
0.06,2996
0.06,3411
0.06,2783
0.06,3111
0.06,3075
0.06,3490
0.06,3033
0.06,2800
0.06,2842
0.06,1779
0.06,3807
0.06,5741
0.06,3634
0.06,4161
0.06,4275
0.06,2166
0.06,3233
0.06,2656
0.06,2781
0.06,4348
0.06,2537
0.06,2431
0.06,3287
0.06,3409
0.06,3313
0.06,3127
0.06,5724
0.06,2631
0.06,2771
0.06,1797
0.06,2984
0.06,1860
0.06,2049
0.06,2375
0.06,3329
0.06,3035
0.06,4142
0.06,3234
0.06,3072
0.06,2393
0.06,2598
0.06,3361
0.06,1479
0.06,3993
0.06,1552
0.06,2430
0.06,7332
0.06,4339
0.06,2501
0.06,6471
0.06,2625
0.06,3713
0.06,1711
0.06,3285
0.06,3031
0.06,3072
0.06,2559
0.06,3285
