alpha,steps
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.0,99999
0.01,3690
0.01,3239
0.01,2196
0.01,3561
0.01,2482
0.01,3545
0.01,12442
0.01,1775
0.01,2820
0.01,4397
0.01,4175
0.01,5068
0.01,3252
0.01,4365
0.01,3728
0.01,4255
0.01,3610
0.01,2999
0.01,1684
0.01,5446
0.01,5469
0.01,3997
0.01,3220
0.01,1122
0.01,3279
0.01,8611
0.01,1744
0.01,4520
0.01,2728
0.01,6178
0.01,8300
0.01,2175
0.01,2221
0.01,5569
0.01,3268
0.01,2237
0.01,4987
0.01,4841
0.01,3379
0.01,5077
0.01,3710
0.01,3575
0.01,3492
0.01,2767
0.01,5005
0.01,2472
0.01,3407
0.01,3507
0.01,3149
0.01,2045
0.01,2449
0.01,6325
0.01,2724
0.01,3540
0.01,5634
0.01,2533
0.01,2850
0.01,3481
0.01,14002
0.01,2418
0.01,2568
0.01,5441
0.01,2174
0.01,6298
0.01,5162
0.01,1547
0.01,5754
0.01,3280
0.01,3109
0.01,4650
0.01,4503
0.01,4215
0.01,5830
0.01,2804
0.01,3591
0.01,3144
0.01,17121
0.01,8716
0.01,2684
0.01,5451
0.01,2285
0.01,2604
0.01,3761
0.01,3349
0.01,5594
0.01,6662
0.01,3724
0.01,3171
0.01,1881
0.01,4805
0.01,2239
0.01,3993
0.01,2525
0.01,3953
0.01,3409
0.01,5484
0.01,6627
0.01,2095
0.01,2344
0.01,4861
0.02,2489
0.02,3851
0.02,2891
0.02,3401
0.02,3771
0.02,2784
0.02,3797
