nscouts,steps
20,2448
20,2104
20,3127
20,2139
20,1516
20,3194
20,1907
20,2580
20,2920
20,1198
30,3590
30,2366
30,10623
30,4858
30,2002
30,1851
30,996
30,2372
30,1260
30,2280
40,1472
40,2471
40,1330
40,2665
40,753
40,6545
40,1214
40,2342
40,5268
40,2938
50,1470
50,3290
50,2881
50,1375
50,2742
50,3780
50,2471
50,2315
50,1173
50,2537
60,2095
60,1001
60,2295
60,2285
60,3588
60,3598
60,1299
60,2528
60,1600
60,1807
70,2296
70,1327
70,908
70,1809
70,2218
70,965
70,1109
70,1223
70,1773
70,4039
80,1593
80,2491
80,2525
80,1842
80,1924
80,3411
80,901
80,2207
80,1998
80,2035
90,3652
90,1713
90,2274
90,2451
90,2295
90,2537
90,2476
90,1974
90,2005
90,2925
100,1787
100,822
100,2462
100,3266
100,3209
100,1524
100,1843
100,2087
100,2902
100,2597
20,3938
20,1522
20,3749
20,1839
20,2035
20,1672
20,4708
20,4226
20,3624
20,2496
20,2344
20,4142
20,1734
20,2129
20,3002
20,2230
20,2330
20,893
20,3314
20,2691
20,1280
20,1605
20,1609
20,1901
20,3037
20,2244
20,2207
20,1470
20,2399
20,2963
20,3092
20,1625
20,2100
20,2853
20,2170
20,3325
20,5822
20,2706
20,2038
20,3094
20,2749
20,1287
20,2334
20,1832
20,1654
20,1764
20,2082
20,3829
20,3093
20,1648
20,3454
20,1208
20,2252
20,4208
20,1612
20,2289
20,2932
20,2865
20,3062
20,1777
20,3155
20,2056
20,1720
20,1977
20,2740
20,2451
20,3805
20,2589
20,1663
20,2247
20,3689
20,1478
20,1520
20,1414
20,2073
20,1905
20,2463
20,3338
20,2100
20,2508
20,3596
20,1970
20,1073
20,1702
20,2222
20,2207
20,1232
20,3185
20,2014
20,4371
20,3089
20,3444
20,2885
20,3207
20,2774
20,1892
20,2082
20,1456
20,1881
20,1349
40,1417
40,1785
40,2810
40,3626
40,3796
40,1367
40,4096
40,1407
40,1239
40,3162
40,8322
40,1429
40,2625
40,3593
40,2121
40,1812
40,3624
40,3326
40,1972
40,2961
40,3189
40,1903
40,2071
40,1119
40,3227
40,1587
40,2116
40,1434
40,1371
40,1827
40,1447
40,2586
40,3324
40,3292
40,2219
40,3313
40,2785
40,2339
40,2522
40,3905
40,2059
40,1684
40,1631
40,1670
40,2321
40,1343
40,2230
40,1526
40,1239
40,3065
40,1314
40,2201
40,2354
40,1786
40,1629
40,1079
40,2459
40,2003
40,2363
40,1494
40,2016
40,1897
40,1684
40,2536
40,2193
40,1520
40,2996
40,1614
40,2202
40,1606
40,1232
40,3570
40,3882
40,3803
40,2235
40,1196
40,2168
40,1563
40,1097
40,2048
40,2725
40,1647
40,1156
40,2992
40,2093
40,2352
40,1102
40,3287
40,1610
40,3048
40,2587
40,1032
40,1396
40,2161
40,2562
40,2020
40,1802
40,1975
40,2808
40,1726
60,2560
60,3186
60,1916
60,891
60,1148
60,4060
60,1765
60,2729
60,3033
60,1711
60,2159
60,2211
60,1427
60,2007
60,1630
60,2549
60,5965
60,1757
60,1393
60,1682
60,1613
60,2169
60,2740
60,3029
60,2443
60,1517
60,2330
60,2842
60,1527
60,2897
60,1630
60,1252
60,1394
60,2386
60,1927
60,3260
60,2484
60,2322
60,2695
60,4397
60,2147
60,1460
60,1146
60,1965
60,2945
60,2403
60,2401
60,1912
60,2637
60,2195
60,2554
60,2140
60,3834
60,1985
60,1422
60,2279
60,2573
60,3523
60,1627
60,2889
60,2223
60,4895
60,1452
60,2851
60,2394
60,3179
60,2493
60,1387
60,2426
60,1055
60,1803
60,3231
60,4752
60,2233
60,3143
60,1541
60,1299
60,1461
60,1520
60,2143
60,2513
60,1536
60,1759
60,1373
60,1901
60,2654
60,1412
60,2704
60,1830
60,2408
60,1745
60,1984
60,1330
60,1934
60,2674
60,2565
60,3145
60,1262
60,1401
60,2501
80,1392
80,1374
80,875
80,2136
80,2443
80,2761
80,2123
80,2669
80,2460
80,1891
80,1454
80,2244
80,2349
80,1076
80,2360
80,1719
80,3523
80,1914
80,2851
80,1862
80,964
80,1908
80,1655
80,3857
80,2281
80,1560
80,1225
80,2495
80,2261
80,2324
80,824
80,1558
80,2674
80,4276
80,1221
80,3017
80,4299
80,1299
80,3898
80,2890
80,1974
80,2151
80,1887
80,2678
80,1567
80,1501
80,1934
80,3055
80,3232
80,1960
80,1210
80,1108
80,1590
80,1273
80,1509
80,1833
80,3235
80,2237
80,1834
80,3936
80,2165
80,3240
80,2160
80,3103
80,1280
80,4204
80,1135
80,1660
80,2694
80,3825
80,1596
80,1935
80,1249
80,1411
80,1330
80,1896
80,1728
80,802
80,3056
80,1715
80,2160
80,2635
80,2383
80,1375
80,1078
80,1643
80,970
80,2268
80,947
80,4809
80,1715
80,1243
80,2399
80,1270
80,1897
80,4450
80,1292
80,2988
80,2033
80,1700
100,3903
100,1658
100,2719
100,2429
100,2383
100,2541
100,2969
100,1358
100,1390
100,2157
100,1324
100,2661
100,2534
100,2162
100,1325
100,1657
100,1306
100,1509
100,3123
100,1297
100,1843
100,2745
100,1709
100,1342
100,3635
100,2356
100,2085
100,1719
100,2007
100,1059
100,903
100,3709
100,2937
100,1739
100,1671
100,1901
100,1163
100,2767
100,1796
100,1110
100,2939
100,3106
100,2226
100,1730
100,1246
100,1786
100,2238
100,4574
100,1227
100,2062
100,1310
100,2092
100,1712
100,1576
100,3532
100,1450
100,1513
100,1353
100,852
100,1390
100,2559
100,2465
100,1786
100,2736
100,1756
100,1872
100,2278
100,2116
100,3544
100,1945
100,2137
100,2038
100,3804
100,1275
100,1529
100,1591
100,1853
100,1219
100,2543
100,2741
100,1978
100,3110
100,1480
100,1778
100,3121
100,1883
100,2306
100,1502
100,1722
100,2721
100,2391
100,1411
100,1908
100,1011
100,1808
100,2791
100,1759
100,1528
100,3215
100,2511
120,1468
120,2331
120,3397
120,1478
120,2304
120,2477
120,1516
120,2636
120,1829
120,3932
120,1891
120,2048
120,4207
120,929
120,3369
120,2860
120,1674
120,3260
120,1481
120,2434
120,2471
120,1420
120,1945
120,1682
120,2263
120,1628
120,3382
120,1581
120,1768
120,2444
120,2562
120,1562
120,2239
120,2032
120,1397
120,3064
120,1903
120,3976
120,1715
120,1395
120,2267
120,3244
120,1464
120,1940
120,2169
120,1972
120,1613
120,1971
120,2872
120,1046
120,2316
120,1408
120,2760
120,1303
120,2065
120,1723
120,1192
120,1567
120,1495
120,3523
120,1696
120,2149
120,3523
120,1724
120,4248
120,1595
120,2443
120,2137
120,1990
120,2111
120,4076
120,1693
120,1572
120,3440
120,1525
120,1223
120,2152
120,2270
120,1288
120,1589
120,1222
120,2257
120,1530
120,1846
120,2551
120,1434
120,1304
120,2896
120,1503
120,953
120,2323
120,2569
120,1385
120,2211
120,3094
120,2930
120,1822
120,2666
120,1098
120,1522
140,2237
140,1733
140,2756
140,837
140,1117
140,1532
140,1462
140,1173
140,1488
140,3803
140,1634
140,972
140,1646
140,1234
140,1392
140,1560
140,1092
140,1698
140,1092
140,1490
140,851
140,3490
140,2073
140,3475
140,3752
140,1679
140,1950
140,1974
140,954
140,3373
140,2582
140,2760
140,3354
140,2022
140,2313
140,2291
140,1281
140,3176
140,1365
140,3354
140,2037
140,8827
140,1147
140,982
140,2029
140,1360
140,2965
